DATE,QCNR628BIS
2005-04-01,87.9389
2005-07-01,89.5385
2005-10-01,89.7531
2006-01-01,88.5259
2006-04-01,90.6989
2006-07-01,92.4696
2006-10-01,92.4653
2007-01-01,90.7212
2007-04-01,92.6815
2007-07-01,93.1592
2007-10-01,94.4012
2008-01-01,91.8193
2008-04-01,92.6727
2008-07-01,93.3268
2008-10-01,93.6743
2009-01-01,92.2225
2009-04-01,93.6717
2009-07-01,95.6501
2009-10-01,97.3105
2010-01-01,98.4735
2010-04-01,100.8828
2010-07-01,100.6863
2010-10-01,99.9567
2011-01-01,99.1303
2011-04-01,99.3206
2011-07-01,98.4475
2011-10-01,97.691
2012-01-01,95.6197
2012-04-01,95.5019
2012-07-01,95.5411
2012-10-01,95.3065
2013-01-01,95.1775
2013-04-01,98.2811
2013-07-01,100.0002
2013-10-01,101.0075
2014-01-01,100.7564
2014-04-01,101.2468
2014-07-01,98.563
2014-10-01,95.9492
2015-01-01,93.7709
2015-04-01,93.8266
2015-07-01,93.8349
2015-10-01,94.2606
2016-01-01,94.9079
2016-04-01,97.163
2016-07-01,99.1113
2016-10-01,100.9353
2017-01-01,101.1971
2017-04-01,103.498
2017-07-01,104.2826
2017-10-01,104.23
2018-01-01,103.5605
2018-04-01,105.8085
2018-07-01,108.0749
2018-10-01,109.4393
2019-01-01,109.4596
2019-04-01,110.5545
2019-07-01,110.3498
2019-10-01,108.7458
2020-01-01,107.1624
2020-04-01,109.9365
2020-07-01,110.3166
2020-10-01,111.1863
2021-01-01,110.565
2021-04-01,112.6115
2021-07-01,112.9903
2021-10-01,111.0794
