DATE,QINR628BIS
2009-01-01,88.9013
2009-04-01,91.8104
2009-07-01,93.1466
2009-10-01,94.6526
2010-01-01,96.2271
2010-04-01,99.1165
2010-07-01,103.5176
2010-10-01,100.9531
2011-01-01,104.84
2011-04-01,111.0931
2011-07-01,112.4555
2011-10-01,116.5977
2012-01-01,122.6886
2012-04-01,126.9924
2012-07-01,128.4417
2012-10-01,135.9487
2013-01-01,139.7861
2013-04-01,138.2987
2013-07-01,138.3616
2013-10-01,137.8301
2014-01-01,145.7431
2014-04-01,149.0913
2014-07-01,147.9489
2014-10-01,154.8481
2015-01-01,162.6809
2015-04-01,162.4682
2015-07-01,160.9124
2015-10-01,161.3355
2016-01-01,159.6542
2016-04-01,165.0287
2016-07-01,164.7229
2016-10-01,168.4824
2017-01-01,170.2668
2017-04-01,175.5281
2017-07-01,171.8791
2017-10-01,172.7489
2018-01-01,173.7036
2018-04-01,176.4252
2018-07-01,174.9039
2018-10-01,177.0084
2019-01-01,175.6768
2019-04-01,177.0669
2019-07-01,174.5278
2019-10-01,172.2227
2020-01-01,171.1444
2020-04-01,170.8414
2020-07-01,165.0701
2020-10-01,165.4658
2021-01-01,167.5383
2021-04-01,164.9822
2021-07-01,160.8375
2021-10-01,162.4924
