DATE,QUSR628BIS
1970-01-01,60.9597
1970-04-01,60.4015
1970-07-01,60.6711
1970-10-01,60.6154
1971-01-01,61.8025
1971-04-01,62.7962
1971-07-01,62.804
1971-10-01,64.0014
1972-01-01,63.7267
1972-04-01,65.0124
1972-07-01,65.673
1972-10-01,66.4757
1973-01-01,68.5507
1973-04-01,68.6538
1973-07-01,68.8986
1973-10-01,68.7755
1974-01-01,68.52
1974-04-01,67.9341
1974-07-01,67.6981
1974-10-01,66.1336
1975-01-01,66.6816
1975-04-01,67.5511
1975-07-01,67.3245
1975-10-01,67.5023
1976-01-01,65.8745
1976-04-01,65.3831
1976-07-01,67.0534
1976-10-01,68.8882
1977-01-01,70.5181
1977-04-01,72.0266
1977-07-01,73.614
1977-10-01,75.2644
1978-01-01,76.7808
1978-04-01,77.5731
1978-07-01,78.5881
1978-10-01,79.7228
1979-01-01,80.962
1979-04-01,81.6964
1979-07-01,82.0751
1979-10-01,82.528
1980-01-01,81.1923
1980-04-01,79.7698
1980-07-01,80.3456
1980-10-01,79.9096
1981-01-01,79.3341
1981-04-01,78.6292
1981-07-01,77.1462
1981-10-01,76.7918
1982-01-01,76.5942
1982-04-01,75.5584
1982-07-01,74.202
1982-10-01,74.494
1983-01-01,75.3923
1983-04-01,75.422
1983-07-01,75.5139
1983-10-01,75.8263
1984-01-01,75.938
1984-04-01,76.0456
1984-07-01,76.1995
1984-10-01,76.2926
1985-01-01,76.7867
1985-04-01,77.1636
1985-07-01,77.63
1985-10-01,78.4534
1986-01-01,79.8191
1986-04-01,81.5789
1986-07-01,82.8054
1986-10-01,84.1091
1987-01-01,85.3863
1987-04-01,86.2806
1987-07-01,87.106
1987-10-01,88.1037
1988-01-01,89.0644
1988-04-01,90.1094
1988-07-01,91.4508
1988-10-01,92.7342
1989-01-01,93.732
1989-04-01,93.5602
1989-07-01,94.0885
1989-10-01,94.5397
1990-01-01,93.8993
1990-04-01,93.1819
1990-07-01,91.3367
1990-10-01,89.3678
1991-01-01,88.1758
1991-04-01,87.9171
1991-07-01,87.1649
1991-10-01,86.2694
1992-01-01,85.8312
1992-04-01,84.9882
1992-07-01,84.2146
1992-10-01,83.8844
1993-01-01,83.4321
1993-04-01,83.1447
1993-07-01,83.4087
1993-10-01,83.5609
1994-01-01,83.3735
1994-04-01,83.2721
1994-07-01,82.947
1994-10-01,82.9176
1995-01-01,82.6217
1995-04-01,82.394
1995-07-01,82.656
1995-10-01,82.7458
1996-01-01,82.6766
1996-04-01,82.4432
1996-07-01,82.4371
1996-10-01,82.388
1997-01-01,82.5129
1997-04-01,82.9881
1997-07-01,83.6741
1997-10-01,84.6253
1998-01-01,85.9252
1998-04-01,86.7904
1998-07-01,87.9624
1998-10-01,89.3016
1999-01-01,90.3631
1999-04-01,91.2287
1999-07-01,92.454
1999-10-01,93.8318
2000-01-01,95.2815
2000-04-01,96.6758
2000-07-01,97.9976
2000-10-01,99.7006
2001-01-01,101.0677
2001-04-01,101.8743
2001-07-01,103.6133
2001-10-01,105.6345
2002-01-01,107.184
2002-04-01,108.765
2002-07-01,110.9925
2002-10-01,112.9513
2003-01-01,114.1069
2003-04-01,116.1932
2003-07-01,118.9459
2003-10-01,122.7637
2004-01-01,125.8772
2004-04-01,128.9477
2004-07-01,133.0439
2004-10-01,137.0406
2005-01-01,141.766
2005-04-01,145.5307
2005-07-01,148.7852
2005-10-01,152.1847
2006-01-01,153.7043
2006-04-01,150.8028
2006-07-01,148.9596
2006-10-01,149.7751
2007-01-01,146.5221
2007-04-01,139.9206
2007-07-01,135.511
2007-10-01,130.163
2008-01-01,123.5008
2008-04-01,115.4689
2008-07-01,108.9521
2008-10-01,106.4534
2009-01-01,103.9207
2009-04-01,102.7033
2009-07-01,102.4091
2009-10-01,102.588
2010-01-01,102.188
2010-04-01,101.0166
2010-07-01,99.0135
2010-10-01,97.8017
2011-01-01,95.7196
2011-04-01,93.7334
2011-07-01,93.7303
2011-10-01,93.9724
2012-01-01,94.242
2012-04-01,95.6344
2012-07-01,97.3374
2012-10-01,99.3927
2013-01-01,101.3382
2013-04-01,103.4869
2013-07-01,105.5665
2013-10-01,107.907
2014-01-01,108.4223
2014-04-01,107.9978
2014-07-01,109.2866
2014-10-01,111.8014
2015-01-01,113.7851
2015-04-01,113.8157
2015-07-01,115.0992
2015-10-01,117.2381
2016-01-01,118.6308
2016-04-01,118.6285
2016-07-01,119.8611
2016-10-01,121.4198
2017-01-01,122.1165
2017-04-01,123.1452
2017-07-01,124.56
2017-10-01,126.0746
2018-01-01,126.9078
2018-04-01,127.1197
2018-07-01,127.8794
2018-10-01,129.0653
2019-01-01,129.781
2019-04-01,129.4606
2019-07-01,130.4675
2019-10-01,132.0054
2020-01-01,133.2096
2020-04-01,135.4712
2020-07-01,137.6229
2020-10-01,141.8454
2021-01-01,145.7401
2021-04-01,149.5475
2021-07-01,153.4254
2021-10-01,157.4995
